trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.01, 'e': 0.8529963589691315}",20,0,-94.17977266567519,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
160,False,"{'a': 0.01, 'e': 0.8521437889662113}",35,0,-187.75538956562073,"{0: 25, 1: 1, 2: 5, 3: 0, 4: 4}",0
161,False,"{'a': 0.01, 'e': 0.8512920711071511}",20,0,-135.7987569987369,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
162,False,"{'a': 0.01, 'e': 0.850441204540233}",25,0,-74.80128054464085,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
163,False,"{'a': 0.01, 'e': 0.8495911884145902}",20,0,-85.01666231382795,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
164,False,"{'a': 0.01, 'e': 0.8487420218802068}",30,0,-106.07179604801233,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
165,False,"{'a': 0.01, 'e': 0.8478937040879159}",20,0,-49.59590173004258,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
166,False,"{'a': 0.01, 'e': 0.8470462341893996}",25,0,-57.02653472775248,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
167,False,"{'a': 0.01, 'e': 0.8461996113371882}",20,0,-114.79629814571275,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
168,False,"{'a': 0.01, 'e': 0.8453538346846587}",20,0,-164.62094547520917,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
169,False,"{'a': 0.01, 'e': 0.8445089033860343}",20,0,-47.69468691390337,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
170,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-95.37107967121796,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
171,False,"{'a': 0.01, 'e': 0.8428215734716199}",25,0,-86.71673480886874,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
172,False,"{'a': 0.01, 'e': 0.8419791731684999}",20,0,-56.18563039911665,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
173,False,"{'a': 0.01, 'e': 0.8411376148446232}",20,0,-35.64380766723787,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
174,False,"{'a': 0.01, 'e': 0.8402968976584314}",25,6,-72.22447913415924,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1
175,False,"{'a': 0.01, 'e': 0.8394570207692074}",25,0,-85.3980752312526,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
176,False,"{'a': 0.01, 'e': 0.838617983337074}",35,0,-130.40599581155217,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
177,False,"{'a': 0.01, 'e': 0.8377797845229938}",30,0,-174.541328756873,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
178,False,"{'a': 0.01, 'e': 0.8369424234887681}",30,12,-45.324109274340536,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
179,False,"{'a': 0.01, 'e': 0.8361058993970355}",30,0,-154.0651577239231,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
180,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-46.47859676240329,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
181,False,"{'a': 0.01, 'e': 0.8344353586957896}",30,0,-140.80173299892382,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
182,False,"{'a': 0.01, 'e': 0.8336013404157353}",30,0,-71.89887722259886,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
