trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
845,False,"{'a': 0.01, 'e': 0.2737910890471057}",20,11,8.12715433058624,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
846,False,"{'a': 0.01, 'e': 0.27246608491121294}",25,15,11.178000289077271,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
847,False,"{'a': 0.01, 'e': 0.27114623373196156}",20,4,17.595362167458212,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
848,False,"{'a': 0.01, 'e': 0.26983152908614905}",20,14,11.500733798188676,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
849,False,"{'a': 0.01, 'e': 0.26852196439193765}",25,11,16.23139204592138,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
850,False,"{'a': 0.01, 'e': 0.2672175329110218}",20,0,11.26278757563464,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
851,False,"{'a': 0.01, 'e': 0.2659182277507851}",25,0,-18.5522496799545,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
852,False,"{'a': 0.01, 'e': 0.26462404186644317}",30,5,-34.05342669600836,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",1
853,False,"{'a': 0.01, 'e': 0.26333496806317}",25,6,-13.71436802682869,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
854,False,"{'a': 0.01, 'e': 0.26205099899821427}",25,17,13.870922946180865,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
855,False,"{'a': 0.01, 'e': 0.26077212718299747}",25,11,2.4403913615641297,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
856,False,"{'a': 0.01, 'e': 0.25949834498520197}",20,0,-14.229405406250073,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
857,False,"{'a': 0.01, 'e': 0.2582296446308413}",35,13,4.5392612565537895,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
858,False,"{'a': 0.01, 'e': 0.25696601820631915}",30,0,9.797498143686678,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
859,False,"{'a': 0.01, 'e': 0.25570745766047287}",25,11,0.8775123282277253,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
860,False,"{'a': 0.01, 'e': 0.25445395480660205}",20,9,19.158458770766504,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
861,False,"{'a': 0.01, 'e': 0.25320550132448516}",20,1,20.02373207187317,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
862,False,"{'a': 0.01, 'e': 0.2519620887623786}",25,14,-37.55072259792682,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
863,False,"{'a': 0.01, 'e': 0.2507237085390054}",20,13,-29.05317629767267,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
864,False,"{'a': 0.01, 'e': 0.24949035194552505}",25,7,20.46031469565138,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
865,False,"{'a': 0.01, 'e': 0.24826201014749294}",20,3,12.393878322445843,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
866,False,"{'a': 0.01, 'e': 0.24703867418680403}",30,11,-46.72126920985489,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
867,False,"{'a': 0.01, 'e': 0.24582033498361988}",30,13,33.04271995494138,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
868,False,"{'a': 0.01, 'e': 0.24460698333828623}",20,10,11.268662720101165,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
869,False,"{'a': 0.01, 'e': 0.24339860993323026}",25,13,-3.4163037233633444,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
870,False,"{'a': 0.01, 'e': 0.24219520533484817}",20,10,0.4171683112805784,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
871,False,"{'a': 0.01, 'e': 0.2409967599953765}",20,15,2.755181748988516,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
872,False,"{'a': 0.01, 'e': 0.23980326425474763}",30,12,-21.80094265614823,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
873,False,"{'a': 0.01, 'e': 0.23861470834243426}",25,7,17.93818923430383,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
874,False,"{'a': 0.01, 'e': 0.23743108237927502}",20,15,7.908211821148903,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
875,False,"{'a': 0.01, 'e': 0.23625237637929042}",20,0,-40.85312508994896,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
876,False,"{'a': 0.01, 'e': 0.2350785802514801}",20,7,-15.495243332451288,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
877,False,"{'a': 0.01, 'e': 0.23390968380160793}",20,6,-0.8980089223484582,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
878,False,"{'a': 0.01, 'e': 0.23274567673397362}",30,24,8.976708393385108,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
879,False,"{'a': 0.01, 'e': 0.2315865486531663}",20,10,7.434772907559121,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
880,False,"{'a': 0.01, 'e': 0.23043228906580804}",20,11,15.5621389189445,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
881,False,"{'a': 0.01, 'e': 0.22928288738227942}",20,11,16.195219162328723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
882,False,"{'a': 0.01, 'e': 0.22813833291843344}",20,3,31.99302356419462,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
883,False,"{'a': 0.01, 'e': 0.22699861489729278}",30,22,2.8841366438025964,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
884,False,"{'a': 0.01, 'e': 0.22586372245073438}",25,0,29.752545492697728,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
